Id,UserId,Name,Date,Class,TagBased
29,44,Teacher,2011-09-13T21:21:34.437,3,False
42,53,Teacher,2011-09-13T21:31:35.310,3,False
48,20,Teacher,2011-09-13T21:41:48.617,3,False
49,58,Teacher,2011-09-13T21:41:48.617,3,False
52,57,Teacher,2011-09-13T21:46:45.863,3,False
57,64,Teacher,2011-09-13T21:56:45.877,3,False
66,9,Teacher,2011-09-13T22:11:55.120,3,False
69,22,Teacher,2011-09-13T22:16:55.220,3,False
70,39,Teacher,2011-09-13T22:16:55.220,3,False
71,69,Teacher,2011-09-13T22:16:55.220,3,False
73,62,Teacher,2011-09-13T22:26:55.843,3,False
91,73,Teacher,2011-09-13T23:52:43.117,3,False
110,8,Teacher,2011-09-14T01:13:10.753,3,False
111,16,Teacher,2011-09-14T01:13:10.753,3,False
112,80,Teacher,2011-09-14T01:13:10.753,3,False
114,71,Teacher,2011-09-14T01:18:10.683,3,False
122,91,Teacher,2011-09-14T02:08:21.600,3,False
138,76,Teacher,2011-09-14T03:18:39.940,3,False
139,82,Teacher,2011-09-14T03:18:39.940,3,False
149,46,Teacher,2011-09-14T05:14:19.207,3,False
162,106,Teacher,2011-09-14T07:04:32.163,3,False
163,92,Teacher,2011-09-14T07:09:34.620,3,False
167,72,Teacher,2011-09-14T07:59:41.653,3,False
172,43,Teacher,2011-09-14T08:54:54.100,3,False
182,30,Teacher,2011-09-14T11:20:19.917,3,False
183,93,Teacher,2011-09-14T11:20:19.917,3,False
184,111,Teacher,2011-09-14T11:30:19.977,3,False
188,104,Teacher,2011-09-14T11:50:28.137,3,False
202,35,Teacher,2011-09-14T14:21:00.283,3,False
206,117,Teacher,2011-09-14T14:31:00.267,3,False
209,119,Teacher,2011-09-14T14:41:08.317,3,False
218,90,Teacher,2011-09-14T15:16:13.487,3,False
221,126,Teacher,2011-09-14T15:36:13.767,3,False
225,127,Teacher,2011-09-14T16:16:37.710,3,False
240,50,Teacher,2011-09-14T19:17:21.160,3,False
243,28,Teacher,2011-09-14T19:22:21.293,3,False
279,136,Teacher,2011-09-15T04:22:32.497,3,False
289,134,Teacher,2011-09-15T08:17:33.040,3,False
300,4,Teacher,2011-09-15T14:02:41.530,3,False
319,129,Teacher,2011-09-15T19:19:18.270,3,False
333,95,Teacher,2011-09-15T23:05:31.773,3,False
344,77,Teacher,2011-09-16T00:25:55.683,3,False
345,51,Teacher,2011-09-16T00:51:08.873,3,False
353,142,Teacher,2011-09-16T05:37:34.293,3,False
400,153,Teacher,2011-09-18T07:38:45.263,3,False
402,156,Teacher,2011-09-18T08:43:48.073,3,False
413,168,Teacher,2011-09-18T18:10:01.143,3,False
416,84,Teacher,2011-09-18T18:30:08.520,3,False
418,165,Teacher,2011-09-18T18:45:16.030,3,False
423,164,Teacher,2011-09-19T01:22:56.393,3,False
443,42,Teacher,2011-09-19T19:57:46.473,3,False
445,177,Teacher,2011-09-19T23:22:47.857,3,False
457,178,Teacher,2011-09-20T15:04:11.710,3,False
506,187,Teacher,2011-09-20T19:54:35.807,3,False
510,185,Teacher,2011-09-20T20:04:35.637,3,False
517,200,Teacher,2011-09-20T20:34:35.663,3,False
553,45,Teacher,2011-09-21T05:59:39.687,3,False
562,210,Teacher,2011-09-21T07:34:39.700,3,False
593,235,Teacher,2011-09-21T19:12:24.320,3,False
596,150,Teacher,2011-09-21T20:52:53.827,3,False
607,243,Teacher,2011-09-22T09:03:28.177,3,False
619,252,Teacher,2011-09-22T13:54:32.980,3,False
620,253,Teacher,2011-09-22T15:40:09.533,3,False
626,248,Teacher,2011-09-22T20:16:45.600,3,False
649,18,Teacher,2011-09-23T21:08:42.950,3,False
654,277,Teacher,2011-09-24T03:55:16.700,3,False
659,276,Teacher,2011-09-24T10:22:19.970,3,False
666,282,Teacher,2011-09-24T14:58:41.420,3,False
669,186,Teacher,2011-09-24T17:19:26.527,3,False
670,284,Teacher,2011-09-24T18:34:45.343,3,False
676,286,Teacher,2011-09-24T23:16:43.180,3,False
682,289,Teacher,2011-09-25T05:28:09.987,3,False
693,236,Teacher,2011-09-26T01:03:38.617,3,False
708,306,Teacher,2011-09-26T14:57:43.963,3,False
719,112,Teacher,2011-09-26T20:29:49.017,3,False
730,33,Teacher,2011-09-27T04:38:10.647,3,False
737,318,Teacher,2011-09-27T16:20:59.343,3,False
739,225,Teacher,2011-09-27T17:16:17.850,3,False
742,314,Teacher,2011-09-27T20:32:27.730,3,False
746,323,Teacher,2011-09-27T22:18:21.863,3,False
762,74,Teacher,2011-09-28T13:22:11.013,3,False
763,321,Teacher,2011-09-28T13:42:18.673,3,False
773,342,Teacher,2011-09-28T21:18:29.987,3,False
776,340,Teacher,2011-09-28T22:23:37.993,3,False
777,345,Teacher,2011-09-28T23:38:38.827,3,False
792,350,Teacher,2011-09-29T15:40:01.177,3,False
796,352,Teacher,2011-09-29T20:27:03.850,3,False
806,357,Teacher,2011-09-30T15:53:15.063,3,False
821,363,Teacher,2011-10-02T12:20:26.710,3,False
840,379,Teacher,2011-10-03T13:37:09.403,3,False
851,369,Teacher,2011-10-04T08:42:15.767,3,False
868,385,Teacher,2011-10-05T18:24:37.850,3,False
883,392,Teacher,2011-10-06T15:38:52.530,3,False
884,390,Teacher,2011-10-06T15:49:06.710,3,False
889,394,Teacher,2011-10-06T17:44:34.477,3,False
898,400,Teacher,2011-10-07T20:47:54.753,3,False
900,397,Teacher,2011-10-07T22:48:28.270,3,False
961,420,Teacher,2011-10-14T03:52:12.017,3,False
968,422,Teacher,2011-10-14T15:09:33.417,3,False
977,424,Teacher,2011-10-15T03:00:49.680,3,False
991,297,Teacher,2011-10-17T19:05:28.927,3,False
994,432,Teacher,2011-10-18T01:20:35.930,3,False
998,256,Teacher,2011-10-18T16:43:00.660,3,False
1008,435,Teacher,2011-10-19T16:07:00.787,3,False
1009,97,Teacher,2011-10-19T17:57:01.517,3,False
1010,438,Teacher,2011-10-19T23:02:49.573,3,False
1041,445,Teacher,2011-10-23T19:47:46.763,3,False
1076,463,Teacher,2011-10-30T07:28:06.067,3,False
1084,192,Teacher,2011-10-30T15:44:33.003,3,False
1095,473,Teacher,2011-11-02T06:25:32.157,3,False
1096,458,Teacher,2011-11-02T10:00:51.280,3,False
1116,472,Teacher,2011-11-04T03:53:10.517,3,False
1127,485,Teacher,2011-11-06T04:55:05.777,3,False
1131,487,Teacher,2011-11-06T16:56:18.997,3,False
1142,492,Teacher,2011-11-07T10:42:42.673,3,False
1168,100,Teacher,2011-11-11T00:29:06.810,3,False
1172,482,Teacher,2011-11-11T23:04:24.363,3,False
1197,511,Teacher,2011-11-16T16:44:42.537,3,False
1208,519,Teacher,2011-11-19T03:08:58.860,3,False
1270,536,Teacher,2011-11-30T23:07:08.540,3,False
1278,176,Teacher,2011-12-01T22:34:03.550,3,False
1279,81,Teacher,2011-12-02T02:45:05.153,3,False
1304,571,Teacher,2011-12-07T10:59:40.193,3,False
1305,383,Teacher,2011-12-07T12:20:01.200,3,False
1317,572,Teacher,2011-12-07T18:11:29.267,3,False
1326,551,Teacher,2011-12-08T16:17:08.043,3,False
1327,537,Teacher,2011-12-09T04:05:36.597,3,False
1328,544,Teacher,2011-12-09T04:05:36.597,3,False
1357,587,Teacher,2011-12-17T11:36:59.393,3,False
1365,603,Teacher,2011-12-19T15:01:27.450,3,False
1373,552,Teacher,2011-12-21T00:50:34.627,3,False
1381,607,Teacher,2011-12-22T10:50:52.710,3,False
1395,619,Teacher,2011-12-26T17:53:43.193,3,False
1405,421,Teacher,2011-12-28T23:23:43.660,3,False
1408,631,Teacher,2011-12-29T18:13:15.840,3,False
1412,629,Teacher,2011-12-30T15:29:13.527,3,False
1423,642,Teacher,2012-01-03T17:25:16.297,3,False
1444,655,Teacher,2012-01-09T15:53:29.837,3,False
1446,657,Teacher,2012-01-10T02:16:34.110,3,False
1452,660,Teacher,2012-01-10T14:09:43.793,3,False
1467,666,Teacher,2012-01-12T21:20:49.030,3,False
